feature_name,feature_position,X,Y
27-22-06,SW,-276212.38,-1137176.86
27-22-06,NW,-276004.94,-1133382.5
27-22-06,NE,-271190.21,-1133664.78
27-22-07,SE,-266576.92,-1137741.78
27-22-07,SW,-271394.65,-1137459.32
27-22-07,NW,-271190.21,-1133664.78
27-22-07,NE,-266375.48,-1133947.06
27-22-08,SE,-261759.2,-1138024.24
27-22-08,SW,-266576.92,-1137741.78
27-22-08,NW,-266375.48,-1133947.06
27-22-08,NE,-261560.75,-1134229.34
27-22-09,SE,-256941.47,-1138306.69
27-22-09,SW,-261759.2,-1138024.24
27-22-09,NW,-261560.75,-1134229.34
27-22-09,NE,-256746.02,-1134511.63
27-22-10,SE,-252123.74,-1138589.15
27-22-10,SW,-256941.47,-1138306.69
27-22-10,NW,-256746.02,-1134511.63
27-22-10,NE,-251931.28,-1134793.91
28-11-06,SE,-247302.16,-1138795.51
28-11-06,SW,-252123.74,-1138589.15
28-11-06,NW,-251931.28,-1134793.91
28-11-06,NE,-247112.69,-1135000.14
28-11-07,SE,-242480.57,-1139001.87
28-11-07,SW,-247302.16,-1138795.51
28-11-07,NW,-247112.69,-1135000.14
28-11-07,NE,-242294.11,-1135206.37
28-11-08,SE,-237658.98,-1139208.23
28-11-08,SW,-242480.57,-1139001.87
28-11-08,NW,-242294.11,-1135206.37
28-11-08,NE,-237475.52,-1135412.6
28-11-09,SE,-232837.4,-1139414.59
28-11-09,SW,-237658.98,-1139208.23
28-11-09,NW,-237475.52,-1135412.6
28-11-09,NE,-232656.93,-1135618.83
28-11-10,SE,-228015.81,-1139620.95
28-11-10,SW,-232837.4,-1139414.59
28-11-10,NW,-232656.93,-1135618.83
28-11-10,NE,-227838.34,-1135825.06
28-12-06,SE,-223194.23,-1139827.3
28-12-06,SW,-228015.81,-1139620.95
28-12-06,NW,-227838.34,-1135825.06
28-12-06,NE,-223019.75,-1136031.29
28-12-07,SE,-218372.64,-1140033.66
28-12-07,SW,-223194.23,-1139827.3
28-12-07,NW,-223019.75,-1136031.29
28-12-07,NE,-218201.16,-1136237.52
28-12-08,SE,-213551.05,-1140240.02
28-12-08,SW,-218372.64,-1140033.66
28-12-08,NW,-218201.16,-1136237.52
28-12-08,NE,-213382.57,-1136443.75
28-12-09,SE,-208729.47,-1140446.38
28-12-09,SW,-213551.05,-1140240.02
28-12-09,NW,-213382.57,-1136443.75
28-12-09,NE,-208563.98,-1136649.98
28-12-10,SE,-203907.88,-1140652.74
28-12-10,SW,-208729.47,-1140446.38
28-12-10,NW,-208563.98,-1136649.98
28-12-10,NE,-203745.4,-1136856.21
28-21-06,SE,-199086.3,-1140859.1
28-21-06,SW,-203907.88,-1140652.74
28-21-06,NW,-203745.4,-1136856.21
28-21-06,NE,-198926.81,-1137062.44
28-21-07,SE,-194264.71,-1141065.46
28-21-07,SW,-199086.3,-1140859.1
28-21-07,NW,-198926.81,-1137062.44
28-21-07,NE,-194108.22,-1137268.68
28-21-08,SE,-189443.12,-1141271.82
28-21-08,SW,-194264.71,-1141065.46
28-21-08,NW,-194108.22,-1137268.68
28-21-08,NE,-189289.63,-1137474.91
28-21-09,SE,-184621.54,-1141478.17
28-21-09,SW,-189443.12,-1141271.82
28-21-09,NW,-189289.63,-1137474.91
28-21-09,NE,-184471.04,-1137681.14
28-21-10,SE,-179799.95,-1141684.53
28-21-10,SW,-184621.54,-1141478.17
28-21-10,NW,-184471.04,-1137681.14
28-21-10,NE,-179652.45,-1137887.37
28-22-06,SE,-174978.37,-1141890.89
28-22-06,SW,-179799.95,-1141684.53
28-22-06,NW,-179652.45,-1137887.37
28-22-06,NE,-174833.86,-1138093.6
28-22-07,SE,-170156.78,-1142097.25
28-22-07,SW,-174978.37,-1141890.89
28-22-07,NW,-174833.86,-1138093.6
28-22-07,NE,-170015.27,-1138299.83
28-22-08,SE,-165335.19,-1142303.61
28-22-08,SW,-170156.78,-1142097.25
28-22-08,NW,-170015.27,-1138299.83
28-22-08,NE,-165196.69,-1138506.06
28-22-09,SE,-160513.61,-1142509.97
28-22-09,SW,-165335.19,-1142303.61
28-22-09,NW,-165196.69,-1138506.06
28-22-09,NE,-160378.1,-1138712.29
28-22-10,SE,-155692.02,-1142716.33
28-22-10,SW,-160513.61,-1142509.97
28-22-10,NW,-160378.1,-1138712.29
28-22-10,NE,-155559.51,-1138918.52
25-11-14,SE,-521994.13,-1122602.33
25-11-14,SW,-526803.52,-1122167.63
25-11-14,NW,-526440.54,-1118384.95
25-11-14,NE,-521634.13,-1118819.38
25-11-15,SE,-517184.73,-1123037.03
25-11-15,SW,-521994.13,-1122602.33
25-11-15,NW,-521634.13,-1118819.38
25-11-15,NE,-516827.72,-1119253.81
25-12-11,SE,-512375.34,-1123471.73
25-12-11,SW,-517184.73,-1123037.03
25-12-11,NW,-516827.72,-1119253.81
25-12-11,NE,-512021.32,-1119688.23
25-12-12,SE,-507565.94,-1123906.42
25-12-12,SW,-512375.34,-1123471.73
25-12-12,NW,-512021.32,-1119688.23
25-12-12,NE,-507214.91,-1120122.66
25-12-13,SE,-502756.55,-1124341.12
25-12-13,SW,-507565.94,-1123906.42
25-12-13,NW,-507214.91,-1120122.66
25-12-13,NE,-502408.5,-1120557.09
25-12-14,SE,-497947.15,-1124775.82
25-12-14,SW,-502756.55,-1124341.12
25-12-14,NW,-502408.5,-1120557.09
25-12-14,NE,-497602.1,-1120991.52
25-12-15,SE,-493137.76,-1125210.52
25-12-15,SW,-497947.15,-1124775.82
25-12-15,NW,-497602.1,-1120991.52
25-12-15,NE,-492795.69,-1121425.95
25-21-11,SE,-488328.36,-1125645.22
25-21-11,SW,-493137.76,-1125210.52
25-21-11,NW,-492795.69,-1121425.95
25-21-11,NE,-487989.28,-1121860.37
25-21-12,SE,-483518.97,-1126079.91
25-21-12,SW,-488328.36,-1125645.22
25-21-12,NW,-487989.28,-1121860.37
25-21-12,NE,-483182.88,-1122294.8
25-21-13,SE,-478709.57,-1126514.61
25-21-13,SW,-483518.97,-1126079.91
25-21-13,NW,-483182.88,-1122294.8
25-21-13,NE,-478376.47,-1122729.23
25-21-14,SE,-473900.18,-1126949.31
25-21-14,SW,-478709.57,-1126514.61
25-21-14,NW,-478376.47,-1122729.23
25-21-14,NE,-473570.06,-1123163.66
25-21-15,SE,-469090.79,-1127384.01
25-21-15,SW,-473900.18,-1126949.31
25-21-15,NW,-473570.06,-1123163.66
25-21-15,NE,-468763.66,-1123598.09
25-22-11,SE,-464281.39,-1127818.71
25-22-11,SW,-469090.79,-1127384.01
25-22-11,NW,-468763.66,-1123598.09
25-22-11,NE,-463957.25,-1124032.51
25-22-12,SE,-459472.0,-1128253.4
25-22-12,SW,-464281.39,-1127818.71
25-22-12,NW,-463957.25,-1124032.51
25-22-12,NE,-459150.84,-1124466.94
25-22-13,SE,-454662.6,-1128688.1
25-22-13,SW,-459472.0,-1128253.4
25-22-13,NW,-459150.84,-1124466.94
25-22-13,NE,-454344.43,-1124901.37
25-22-14,SE,-449853.21,-1129122.8
25-22-14,SW,-454662.6,-1128688.1
25-22-14,NW,-454344.43,-1124901.37
25-22-14,NE,-449538.03,-1125335.8
25-22-15,SE,-445043.81,-1129557.5
25-22-15,SW,-449853.21,-1129122.8
25-22-15,NW,-449538.03,-1125335.8
25-22-15,NE,-444731.62,-1125770.23
26-11-11,SE,-440228.15,-1129916.21
26-11-11,SW,-445043.81,-1129557.5
26-11-11,NW,-444731.62,-1125770.23
26-11-11,NE,-439918.95,-1126128.71
26-11-12,SE,-435412.49,-1130274.92
26-11-12,SW,-440228.15,-1129916.21
26-11-12,NW,-439918.95,-1126128.71
26-11-12,NE,-435106.29,-1126487.2
26-11-13,SE,-430596.84,-1130633.63
26-11-13,SW,-435412.49,-1130274.92
26-11-13,NW,-435106.29,-1126487.2
26-11-13,NE,-430293.62,-1126845.69
26-11-14,SE,-425781.18,-1130992.34
26-11-14,SW,-430596.84,-1130633.63
26-11-14,NW,-430293.62,-1126845.69
26-11-14,NE,-425480.95,-1127204.18
26-11-15,SE,-420965.52,-1131351.05
26-11-15,SW,-425781.18,-1130992.34
26-11-15,NW,-425480.95,-1127204.18
26-11-15,NE,-420668.29,-1127562.66
26-12-11,SE,-416149.86,-1131709.76
26-12-11,SW,-420965.52,-1131351.05
26-12-11,NW,-420668.29,-1127562.66
26-12-11,NE,-415855.62,-1127921.15
26-12-12,SE,-411334.2,-1132068.47
26-12-12,SW,-416149.86,-1131709.76
26-12-12,NW,-415855.62,-1127921.15
26-12-12,NE,-411042.95,-1128279.64
26-12-13,SE,-406518.54,-1132427.18
26-12-13,SW,-411334.2,-1132068.47
26-12-13,NW,-411042.95,-1128279.64
26-12-13,NE,-406230.29,-1128638.13
26-12-14,SE,-401702.88,-1132785.89
26-12-14,SW,-406518.54,-1132427.18
26-12-14,NW,-406230.29,-1128638.13
26-12-14,NE,-401417.62,-1128996.62
26-12-15,SE,-396887.23,-1133144.61
26-12-15,SW,-401702.88,-1132785.89
26-12-15,NW,-401417.62,-1128996.62
26-12-15,NE,-396604.95,-1129355.1
26-21-11,SE,-392071.57,-1133503.32
26-21-11,SW,-396887.23,-1133144.61
26-21-11,NW,-396604.95,-1129355.1
26-21-11,NE,-391792.28,-1129713.59
26-21-12,SE,-387255.91,-1133862.03
26-21-12,SW,-392071.57,-1133503.32
26-21-12,NW,-391792.28,-1129713.59
26-21-12,NE,-386979.62,-1130072.08
26-21-13,SE,-382440.25,-1134220.74
26-21-13,SW,-387255.91,-1133862.03
26-21-13,NW,-386979.62,-1130072.08
26-21-13,NE,-382166.95,-1130430.57
